PC1,PC2,PC3,PC4,PC5,Label
-145.35564970918986,-17.390680112358393,-1.8460484992179254,-2.8549718520124823,3.114290692907172,G_Ca
-145.66622301559818,-18.00907147513811,-0.8903692053829969,-2.8915039261428754,3.3923818424847343,G_Ca
-145.96404128648112,-18.628888257930726,0.41292635673401756,-2.9040989758020124,3.7609822969614175,G_Ca
-146.29000083719436,-19.320104434330034,2.0251442338670853,-2.9249035071346063,4.216129804547918,G_Ca
-146.62053515036882,-20.040162624631822,3.8942724507041415,-3.0278430876989244,4.73310237374892,G_Ca
-146.96531192059896,-20.79910339631289,5.983915923718439,-3.0779727618743142,5.31722922856969,G_Ca
-147.29927939833547,-21.54887118677904,8.204140672509466,-3.1467072192085577,5.931221950640033,G_Ca
-147.66331863137944,-22.359751426481232,10.518268397141961,-3.266217013006105,6.570122187695191,G_Ca
-148.00215324834423,-23.12685887611686,12.861511988375367,-3.342174319137076,7.211817425987751,G_Ca
-148.3435502445955,-23.903332338094298,15.270286751515357,-3.4220119265727353,7.8676554543690465,G_Ca
-148.65344286963676,-24.628625308224393,17.717121658904556,-3.5312384551640905,8.53096071421157,G_Ca
-148.98454178030522,-25.38537368060017,20.13054086638481,-3.555051494249735,9.183439992688372,G_Ca
-112.43216314677717,41.54470096099096,-14.778140690162799,6.9861297605205,-3.011879526976157,G_K+G_Na
-113.91804240821598,38.97488692041666,-14.94063893739286,6.926517313882121,-2.961027767241185,G_K+G_Na
-115.29535977875786,36.58852776507431,-15.074057197824605,6.845001466451883,-2.9082466520066563,G_K+G_Na
-116.59042532017925,34.33907521639378,-15.185723482447157,6.696936439525952,-2.853217263887423,G_K+G_Na
-117.81004671895774,32.21786922794176,-15.275559175309274,6.554788609792703,-2.8003277222771588,G_K+G_Na
-118.91160173031832,30.299625200413523,-15.330063133746755,6.4459247098147,-2.738327230216459,G_K+G_Na
-119.9641774094695,28.463091612669245,-15.369740929487877,6.298271475877594,-2.677517352615806,G_K+G_Na
-120.98461408677706,26.680120603074094,-15.399613919024732,6.1288633896875755,-2.6265710017681294,G_K+G_Na
-121.90318072451606,25.07302711838278,-15.39661302011275,6.003512637405541,-2.561623849390624,G_K+G_Na
-122.82148012933726,23.465105643668522,-15.388912001981865,5.878047878238227,-2.498046684277864,G_K+G_Na
-123.69116120203329,21.938898218209456,-15.3654807589199,5.713634423411385,-2.4338613852417286,G_K+G_Na
-124.50199774485733,20.513954579407525,-15.322357618729109,5.565736928115787,-2.364532812391835,G_K+G_Na
-125.28671093917892,19.134591082398128,-15.264980416598224,5.462145239379877,-2.294703699535037,G_K+G_Na
-126.0331934946468,17.81731349247729,-15.195162709441936,5.2639122506474765,-2.2255346992798626,G_K+G_Na
-126.73669799346425,16.574502947236745,-15.111073754206974,5.092996960918301,-2.1443292229606787,G_K+G_Na
-127.42448542220123,15.35770207777865,-15.016472338182416,4.910686745074425,-2.063664205432703,G_K+G_Na
-128.10210719653267,14.159385527041762,-14.910602663255517,4.783577297167257,-1.9791471255330924,G_K+G_Na
-128.76408274039818,12.986871766699652,-14.792531398992285,4.645062533908631,-1.8961565119803234,G_K+G_Na
-129.36068128658258,11.92526819348798,-14.659584909014615,4.451097497838376,-1.8084996848649335,G_K+G_Na
-129.9641064302299,10.853314743918963,-14.516166358350112,4.328878202322938,-1.720769035418543,G_K+G_Na
