TSNE1,TSNE2,TSNE3,Label
-1.2684246,-7.654143,-0.2557135,G_Ca
-1.381484,-8.183506,0.23737466,G_Ca
-1.5423619,-8.787817,0.77889746,G_Ca
-1.7575614,-9.441584,1.3423098,G_Ca
-2.0429106,-10.065835,1.8838793,G_Ca
-2.3741317,-10.653945,2.449886,G_Ca
-2.7798996,-11.212023,2.9783306,G_Ca
-3.2589633,-11.743064,3.4672632,G_Ca
-3.726668,-12.226694,3.9055157,G_Ca
-4.155176,-12.642086,4.3456507,G_Ca
-4.454871,-13.007815,4.7692337,G_Ca
-4.5559425,-13.467308,5.041502,G_Ca
1.9099574,10.428192,-0.44728068,G_K+G_Na
1.8576518,10.268803,-0.48919275,G_K+G_Na
1.8072318,10.115322,-0.53729624,G_K+G_Na
1.7518704,9.950924,-0.59717584,G_K+G_Na
1.6950369,9.770301,-0.67034197,G_K+G_Na
1.6343985,9.580806,-0.75387436,G_K+G_Na
1.5711027,9.384673,-0.8533971,G_K+G_Na
1.5032946,9.182087,-0.9705848,G_K+G_Na
1.4363405,8.989443,-1.092089,G_K+G_Na
1.3670785,8.789731,-1.2252213,G_K+G_Na
1.2961941,8.59002,-1.363904,G_K+G_Na
1.2290688,8.388561,-1.5016785,G_K+G_Na
1.1689166,8.184748,-1.6343333,G_K+G_Na
1.1061536,7.9708014,-1.775251,G_K+G_Na
1.047766,7.755861,-1.911555,G_K+G_Na
0.9919416,7.5355086,-2.0463133,G_K+G_Na
0.9406019,7.304824,-2.176072,G_K+G_Na
0.8920127,7.0688186,-2.304159,G_K+G_Na
0.84598553,6.845536,-2.4235497,G_K+G_Na
0.80412453,6.604292,-2.5406992,G_K+G_Na
0.7623656,6.359776,-2.6558373,G_K+G_Na
0.72658354,6.1316442,-2.7588303,G_K+G_Na
0.6867592,5.8744755,-2.8699434,G_K+G_Na
0.6546887,5.6400304,-2.9641888,G_K+G_Na
0.6205701,5.37322,-3.0628154,G_K+G_Na
0.58343047,5.109517,-3.159799,G_K+G_Na
0.5528549,4.863084,-3.2356699,G_K+G_Na
0.5207285,4.5906825,-3.309594,G_K+G_Na
0.4892817,4.318635,-3.3710637,G_K+G_Na
0.45565355,4.036138,-3.4271815,G_K+G_Na
0.42366448,3.7436626,-3.4743094,G_K+G_Na
0.3886874,3.4516518,-3.5137208,G_K+G_Na
0.3525756,3.158117,-3.549619,G_K+G_Na
0.31324312,2.848996,-3.571208,G_K+G_Na
0.26957354,2.538453,-3.584551,G_K+G_Na
0.22540557,2.2292933,-3.5831056,G_K+G_Na
0.1790776,1.9168581,-3.5673783,G_K+G_Na
0.12690751,1.5785345,-3.5394192,G_K+G_Na
0.07572189,1.2587942,-3.494204,G_K+G_Na
0.021751422,0.93859434,-3.4401588,G_K+G_Na
-0.032302342,0.61700475,-3.361395,G_K+G_Na
-0.0902122,0.30228582,-3.277754,G_K+G_Na
-0.14480126,0.0155472215,-3.184333,G_K+G_Na
-0.21295108,-0.3010075,-3.0655804,G_K+G_Na
-0.27709275,-0.5968339,-2.9352431,G_K+G_Na
-0.3448274,-0.8783201,-2.7947066,G_K+G_Na
-0.4209504,-1.1587145,-2.6422307,G_K+G_Na
-0.5028912,-1.4377117,-2.4766417,G_K+G_Na
-0.5870576,-1.7030241,-2.3077557,G_K+G_Na
-0.6607969,-1.9331354,-2.155381,G_K+G_Na
-0.75034755,-2.1955056,-1.9788834,G_K+G_Na
-0.82640785,-2.4197993,-1.8278693,G_K+G_Na
-0.9112423,-2.6591015,-1.6759357,G_K+G_Na
-0.98361903,-2.8819861,-1.5362818,G_K+G_Na
-1.0542998,-3.1481156,-1.3659016,G_K+G_Na
-1.1130669,-3.395552,-1.2243003,G_K+G_Na
-1.1564796,-3.668076,-1.0813951,G_K+G_Na
-1.201735,-4.0135202,-0.9264206,G_K+G_Na
-1.2079968,-4.3806734,-0.78211796,G_K+G_Na
-1.1791694,-4.843107,-0.61205304,G_K+G_Na
-1.1445,-5.4277253,-0.41665196,G_K+G_Na
-1.1039294,-6.0869246,-0.16312431,G_K+G_Na
-1.0913479,-6.7878675,0.12883323,G_K+G_Na
-1.1588202,-7.483515,0.46562013,G_K+G_Na
-1.2671515,-8.142559,0.80299586,G_K+G_Na
-1.4279532,-8.731422,1.1627071,G_K+G_Na
-1.6209514,-9.286154,1.5051255,G_K+G_Na
-1.81652,-9.763648,1.8263478,G_K+G_Na
-2.0668516,-10.202942,2.1890442,G_K+G_Na
-2.310299,-10.6044235,2.4944136,G_K+G_Na
-2.5709984,-10.970427,2.8005128,G_K+G_Na
-2.8103006,-11.314302,3.1308017,G_K+G_Na
-3.047699,-11.665358,3.4251642,G_K+G_Na
-3.2884712,-11.993795,3.7060566,G_K+G_Na
-3.498046,-12.314394,3.9760897,G_K+G_Na
-3.633304,-12.687531,4.1805286,G_K+G_Na
-3.8466506,-12.759709,4.598842,G_K+G_Na
-3.977483,-13.222281,4.5872636,G_K+G_Na
-4.1603494,-13.343689,4.84948,G_K+G_Na
-4.3894005,-13.410732,5.0344515,G_K+G_Na
-4.5274553,-13.533042,5.1259174,G_K+G_Na
11.944846,-3.7407775,-2.870449,G_K+G_Ca
11.840188,-3.4011364,-2.9015908,G_K+G_Ca
11.725628,-3.2150507,-2.7369418,G_K+G_Ca
11.48372,-3.2731872,-2.3076472,G_K+G_Ca
11.755982,-2.9874969,-1.9564792,G_K+G_Ca
11.621183,-2.708923,-1.4848859,G_K+G_Ca
11.372566,-2.458015,-0.84796506,G_K+G_Ca
11.361616,-2.0244591,-0.0072360076,G_K+G_Ca
10.838496,-1.4019903,0.84762394,G_K+G_Ca
10.6583395,-0.92089134,2.083849,G_K+G_Ca
10.196992,-0.27133304,3.2668037,G_K+G_Ca
9.717959,0.33135056,4.510802,G_K+G_Ca
9.121889,0.9454455,5.722714,G_K+G_Ca
8.365683,1.6273801,6.746488,G_K+G_Ca
7.9135365,2.249391,7.815897,G_K+G_Ca
6.892088,2.5161989,8.372663,G_K+G_Ca
11.006163,-1.3871641,0.7838896,G_K+G_Ca
10.833122,-1.169138,1.4935374,G_K+G_Ca
10.557768,-0.83425593,2.130275,G_K+G_Ca
10.387552,-0.50541943,2.8305137,G_K+G_Ca
10.124905,-0.16532034,3.5095272,G_K+G_Ca
9.868453,0.1628954,4.1691875,G_K+G_Ca
9.571708,0.5000527,4.8489866,G_K+G_Ca
9.268076,0.8349738,5.4747,G_K+G_Ca
8.925299,1.1325108,6.1210256,G_K+G_Ca
8.5041485,1.4227366,6.6645594,G_K+G_Ca
8.294084,1.8690916,7.2177606,G_K+G_Ca
7.9164066,1.9813107,7.7760005,G_K+G_Ca
7.6474133,2.5456498,8.021199,G_K+G_Ca
7.265672,2.6715024,8.443255,G_K+G_Ca
6.667522,2.933985,8.544614,G_K+G_Ca
1.0869793,11.499215,-1.3404071,G_K+G_Ca
1.0028453,11.480227,-1.4435478,G_K+G_Ca
0.9171363,11.440891,-1.5572053,G_K+G_Ca
0.8246627,11.379468,-1.6874194,G_K+G_Ca
0.7223505,11.286297,-1.8373111,G_K+G_Ca
0.6129782,11.182807,-2.004085,G_K+G_Ca
0.50369877,11.062933,-2.1785467,G_K+G_Ca
0.39350158,10.894022,-2.3636286,G_K+G_Ca
0.29920933,10.724454,-2.530281,G_K+G_Ca
0.20461984,10.536704,-2.7059891,G_K+G_Ca
0.1078007,10.33627,-2.8852603,G_K+G_Ca
0.01593845,10.119504,-3.0731912,G_K+G_Ca
-0.07479051,9.890345,-3.2678816,G_K+G_Ca
-0.16615385,9.639383,-3.4688663,G_K+G_Ca
-0.25526726,9.370926,-3.6748137,G_K+G_Ca
-0.34495685,9.108976,-3.8795493,G_K+G_Ca
-0.4279623,8.834083,-4.078744,G_K+G_Ca
-0.52150804,8.544358,-4.299855,G_K+G_Ca
-0.600456,8.239599,-4.498056,G_K+G_Ca
-0.6818419,7.9276404,-4.7034965,G_K+G_Ca
-0.7637098,7.5956388,-4.9204865,G_K+G_Ca
-0.8328353,7.2538486,-5.1262345,G_K+G_Ca
-0.9028738,6.876132,-5.3468876,G_K+G_Ca
-0.9734318,6.4658327,-5.5573125,G_K+G_Ca
-1.0662365,6.0475883,-5.754562,G_K+G_Ca
-1.1940427,5.598042,-5.936545,G_K+G_Ca
-1.3327761,5.0729084,-6.095308,G_K+G_Ca
-1.4431361,4.5240207,-6.247535,G_K+G_Ca
-1.5386854,3.910185,-6.3522644,G_K+G_Ca
-1.6344728,3.233496,-6.417884,G_K+G_Ca
-1.6714706,2.5733802,-6.4325314,G_K+G_Ca
-1.6637262,1.8413988,-6.3919373,G_K+G_Ca
-1.6278281,1.102846,-6.277838,G_K+G_Ca
-1.5881096,0.35740107,-6.124519,G_K+G_Ca
-1.523621,-0.37931204,-5.9040565,G_K+G_Ca
-1.4550712,-1.0894046,-5.646965,G_K+G_Ca
-1.3707241,-1.7817197,-5.370831,G_K+G_Ca
-1.2937261,-2.5017412,-5.036733,G_K+G_Ca
-1.1910408,-3.1964889,-4.7144303,G_K+G_Ca
-1.0781472,-3.873578,-4.38466,G_K+G_Ca
-1.0141294,-4.5341473,-4.020842,G_K+G_Ca
-0.98951507,-5.1341114,-3.5863917,G_K+G_Ca
-1.0123109,-5.657636,-3.033718,G_K+G_Ca
-1.078372,-6.0214367,-2.4957068,G_K+G_Ca
-1.213211,-6.3094387,-1.8872502,G_K+G_Ca
-1.342318,-6.6236744,-1.3070346,G_K+G_Ca
-1.3724691,-7.1503596,-0.6823432,G_K+G_Ca
-1.4482229,-7.9856763,0.07500313,G_K+G_Ca
-1.6390616,-9.007944,0.9790847,G_K+G_Ca
-2.0353625,-10.028153,1.8560477,G_K+G_Ca
11.716601,-3.7539916,-2.954567,G_Na+G_Ca
11.61192,-3.7849286,-2.7134697,G_Na+G_Ca
11.762462,-3.7488103,-2.4470549,G_Na+G_Ca
11.892471,-3.5253534,-2.2534544,G_Na+G_Ca
11.704582,-2.9553437,-2.2353156,G_Na+G_Ca
11.6637535,-2.8051283,-1.7252083,G_Na+G_Ca
11.596747,-2.528376,-1.1520759,G_Na+G_Ca
11.463328,-2.035161,-0.46759462,G_Na+G_Ca
10.978971,-1.6991036,0.42589945,G_Na+G_Ca
10.694918,-1.1614109,1.523602,G_Na+G_Ca
10.429908,-0.5469725,2.7288136,G_Na+G_Ca
9.945697,0.05956037,3.9566367,G_Na+G_Ca
9.409208,0.6674601,5.182309,G_Na+G_Ca
8.770138,1.2998524,6.3217916,G_Na+G_Ca
8.116278,1.8020468,7.423855,G_Na+G_Ca
7.500914,2.361607,8.263216,G_Na+G_Ca
6.5607224,3.0103214,8.6148615,G_Na+G_Ca
11.563093,-2.4291565,-1.020979,G_Na+G_Ca
11.262874,-2.1834602,-0.7261878,G_Na+G_Ca
11.118945,-2.1618173,-0.25029004,G_Na+G_Ca
11.210567,-1.7547852,0.15799946,G_Na+G_Ca
11.158755,-1.5416377,0.68017614,G_Na+G_Ca
10.798652,-1.2511898,1.1464993,G_Na+G_Ca
10.664795,-1.0646286,1.7342263,G_Na+G_Ca
10.50695,-0.7415021,2.3049881,G_Na+G_Ca
10.331165,-0.46145904,2.879738,G_Na+G_Ca
10.130174,-0.17637916,3.494862,G_Na+G_Ca
9.912484,0.106274806,4.060098,G_Na+G_Ca
9.658634,0.39491397,4.6397405,G_Na+G_Ca
9.395596,0.67407596,5.2001047,G_Na+G_Ca
9.1001005,0.96291053,5.7553096,G_Na+G_Ca
8.795604,1.2738354,6.2571616,G_Na+G_Ca
8.559541,1.567063,6.8016596,G_Na+G_Ca
8.071418,1.7174731,7.2061586,G_Na+G_Ca
7.6896644,2.0914063,7.437173,G_Na+G_Ca
7.3268137,2.172383,7.8205004,G_Na+G_Ca
7.1236644,2.6717443,7.9538717,G_Na+G_Ca
6.8820405,2.827113,8.405367,G_Na+G_Ca
0.79542935,2.9534347,-6.848854,G_Na+G_Ca
0.43928316,3.1612499,-6.6426573,G_Na+G_Ca
0.018930111,3.2819624,-6.403324,G_Na+G_Ca
-0.2764146,3.1437144,-6.2643065,G_Na+G_Ca
-0.46705055,2.8467135,-6.1929617,G_Na+G_Ca
-0.5573741,2.4828806,-6.1551437,G_Na+G_Ca
-0.6110248,2.0389934,-6.093072,G_Na+G_Ca
-0.68030566,1.5211374,-6.0263243,G_Na+G_Ca
-0.7061644,1.0012217,-5.9442315,G_Na+G_Ca
-0.6934009,0.48336512,-5.8399096,G_Na+G_Ca
-0.6898295,-0.045562223,-5.7271094,G_Na+G_Ca
-0.66090596,-0.5710206,-5.596618,G_Na+G_Ca
-0.6181866,-1.0978878,-5.4359355,G_Na+G_Ca
-0.5917748,-1.6193335,-5.2684007,G_Na+G_Ca
-0.5631133,-2.1272357,-5.1109233,G_Na+G_Ca
-0.5284289,-2.6627347,-4.915058,G_Na+G_Ca
-0.5071667,-3.1566737,-4.7284627,G_Na+G_Ca
-0.4844488,-3.6575527,-4.5212135,G_Na+G_Ca
-0.4329761,-4.1518116,-4.266363,G_Na+G_Ca
-0.40631017,-4.6230106,-3.995668,G_Na+G_Ca
-0.3885257,-5.0079236,-3.730624,G_Na+G_Ca
